module_name,modified_date,current_version,newest_version,links,notes,tag
System.Linq.Expressions.dll,2024-10-07 19:46,,,,,
System.Linq.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.CookiePolicy.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.HttpsPolicy.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Http.dll,2024-10-07 19:46,,,,,
System.Diagnostics.Process.dll,2024-10-07 19:46,,,,,
Microsoft.Net.Http.Headers.dll,2024-10-07 19:46,,,,,
System.Diagnostics.Debug.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.Options.ConfigurationExtensions.dll,2024-10-07 19:46,,,,,
System.Threading.Tasks.Extensions.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Authorization.Policy.dll,2024-10-07 19:46,,,,,
System.Numerics.dll,2024-10-07 19:46,,,,,
System.IO.Pipelines.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Http.Abstractions.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.HttpLogging.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Mvc.DataAnnotations.dll,2024-10-07 19:46,,,,,
System.IO.FileSystem.DriveInfo.dll,2024-10-07 19:46,,,,,
System.Net.Mail.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.ResponseCaching.dll,2024-10-07 19:46,,,,,
System.Reflection.TypeExtensions.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Components.Web.dll,2024-10-07 19:46,,,,,
System.Collections.dll,2024-10-07 19:46,,,,,
System.Resources.Writer.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Authorization.dll,2024-10-07 19:46,,,,,
System.Numerics.Vectors.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.Diagnostics.HealthChecks.Abstractions.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.Configuration.Abstractions.dll,2024-10-07 19:46,,,,,
Microsoft.CSharp.dll,2024-10-07 19:46,,,,,
System.Runtime.Serialization.Xml.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.StaticFiles.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.Features.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.Logging.dll,2024-10-07 19:46,,,,,
System.ValueTuple.dll,2024-10-07 19:46,,,,,
System.Security.Principal.Windows.dll,2024-10-07 19:46,,,,,
Microsoft.Extensions.Logging.Abstractions.dll,2024-10-07 19:46,,,,,
Microsoft.AspNetCore.Diagnostics.HealthChecks.dll,2024-10-07 19:46,,,,,
